Edad,Estrato,Carrera,Genero,Coctel_ID,Calificacion
26,6,sistemas,femenino,17044,4
29,2,ingenieria,masculino,16250,4
29,1,diseño,masculino,17217,5
18,4,derecho,masculino,11326,5
20,4,sistemas,femenino,15226,2
29,6,administracion,masculino,13222,4
22,2,arquitectura,masculino,14167,4
19,3,diseño,masculino,14095,5
28,3,arquitectura,masculino,17193,3
28,1,arquitectura,masculino,12800,5
22,5,administracion,masculino,17114,2
28,1,derecho,femenino,11664,4
19,5,derecho,femenino,14842,1
26,1,medicina,masculino,178371,5
30,2,diseño,masculino,11124,5
25,6,diseño,femenino,14730,4
18,1,medicina,femenino,178335,4
19,6,ingenieria,masculino,13499,5
28,4,administracion,masculino,17015,5
20,1,derecho,femenino,178309,4
29,4,derecho,femenino,12694,5
25,1,administracion,masculino,17228,5
26,3,ingenieria,masculino,15511,4
30,2,diseño,femenino,13837,3
30,1,derecho,femenino,12107,4
29,5,medicina,masculino,15403,4
24,4,medicina,femenino,12784,4
24,3,sistemas,femenino,13539,2
29,5,ingenieria,femenino,13162,5
30,3,administracion,femenino,12528,4
24,6,administracion,masculino,17135,5
27,6,derecho,masculino,11989,5
26,2,medicina,masculino,12914,5
23,6,medicina,masculino,178307,3
21,6,diseño,femenino,17246,4
18,1,ingenieria,femenino,11690,3
27,1,diseño,masculino,12914,4
29,1,ingenieria,masculino,16485,5
30,5,diseño,masculino,178348,5
19,6,diseño,femenino,16031,5
25,6,derecho,femenino,11005,4
24,3,sistemas,masculino,11375,5
24,4,medicina,femenino,178334,3
27,2,diseño,masculino,17839,3
22,5,administracion,masculino,11844,1
23,1,medicina,masculino,16041,5
24,2,medicina,masculino,11963,1
29,1,diseño,masculino,12704,2
22,6,administracion,masculino,12910,4
22,2,diseño,femenino,11338,3
24,6,derecho,femenino,12706,3
26,4,sistemas,masculino,14482,3
19,2,medicina,femenino,12434,4
28,3,derecho,femenino,14209,4
23,3,administracion,masculino,16047,4
20,4,medicina,masculino,178330,4
21,1,medicina,masculino,12890,4
18,4,derecho,femenino,178315,5
21,6,diseño,masculino,13539,3
23,6,arquitectura,masculino,16158,1
26,1,sistemas,femenino,11528,1
28,3,arquitectura,masculino,12720,3
24,6,ingenieria,masculino,11320,3
20,1,ingenieria,femenino,11021,5
19,6,medicina,masculino,12442,4
28,1,diseño,masculino,13751,5
19,2,derecho,femenino,12071,4
20,2,medicina,masculino,14956,1
26,3,administracion,masculino,15409,4
28,1,administracion,masculino,17228,4
21,5,sistemas,femenino,178346,4
25,6,sistemas,femenino,178348,5
26,5,diseño,masculino,11965,2
30,4,sistemas,masculino,12450,5
21,6,ingenieria,femenino,12402,3
24,4,derecho,femenino,11602,5
18,2,diseño,masculino,17202,2
26,3,arquitectura,femenino,12055,5
26,5,sistemas,masculino,12388,4
18,2,administracion,masculino,11106,1
28,3,sistemas,femenino,17181,4
29,5,diseño,femenino,15092,5
29,2,derecho,masculino,15082,3
22,5,ingenieria,masculino,12057,3
27,2,diseño,femenino,178352,5
21,1,medicina,masculino,12402,1
18,1,ingenieria,masculino,12618,4
18,6,administracion,masculino,11936,4
28,1,diseño,masculino,16275,4
25,6,administracion,masculino,17825,5
18,2,administracion,femenino,15997,1
19,3,medicina,femenino,16986,4
30,4,arquitectura,femenino,178322,4
27,5,administracion,femenino,12800,3
25,4,derecho,femenino,16991,1
18,1,ingenieria,masculino,178315,4
29,6,diseño,femenino,11120,5
19,5,derecho,masculino,12196,5
21,5,arquitectura,femenino,17256,5
24,6,administracion,masculino,11410,4
25,6,sistemas,femenino,17255,5
19,2,ingenieria,masculino,11417,1
29,1,derecho,femenino,17827,3
28,2,diseño,femenino,178322,4
30,6,medicina,masculino,12130,4
29,3,derecho,femenino,12764,3
19,2,medicina,femenino,13198,5
30,2,derecho,masculino,12190,2
26,4,sistemas,femenino,12782,4
26,1,ingenieria,masculino,17213,2
27,3,medicina,masculino,12720,2
19,6,sistemas,femenino,11872,4
26,5,ingenieria,masculino,17241,4
20,6,derecho,femenino,17185,4
23,6,medicina,masculino,11418,2
28,2,administracion,femenino,16967,4
20,3,sistemas,femenino,17222,5
29,2,administracion,femenino,12724,5
23,2,diseño,femenino,12728,4
21,4,administracion,femenino,178330,3
24,6,diseño,masculino,11023,4
26,5,administracion,femenino,178323,4
26,3,medicina,femenino,178348,4
23,4,arquitectura,femenino,16986,5
26,6,derecho,masculino,17197,4
19,3,derecho,femenino,15801,4
27,5,arquitectura,femenino,16047,2
28,4,diseño,femenino,17198,5
27,4,administracion,femenino,17253,5
30,2,sistemas,femenino,12668,4
28,1,diseño,masculino,17835,4
26,2,medicina,masculino,11001,3
23,1,ingenieria,femenino,17833,4
29,6,diseño,masculino,14586,5
24,2,ingenieria,masculino,178330,4
27,6,sistemas,masculino,11989,3
25,2,ingenieria,femenino,178307,4
28,3,diseño,masculino,12784,4
18,2,sistemas,masculino,11129,3
29,2,ingenieria,femenino,12057,4
30,1,derecho,femenino,11528,4
28,2,ingenieria,masculino,11129,2
23,5,medicina,masculino,17219,4
21,6,arquitectura,masculino,17181,5
19,6,derecho,masculino,12890,3
27,2,administracion,femenino,12704,4
28,3,diseño,femenino,15761,4
22,1,ingenieria,masculino,11524,2
19,6,medicina,masculino,12256,4
29,1,ingenieria,masculino,11000,3
26,1,medicina,femenino,16963,1
28,3,medicina,femenino,11255,5
23,3,derecho,masculino,14608,4
18,5,sistemas,masculino,11368,3
27,1,administracion,femenino,11936,2
21,4,ingenieria,femenino,178346,1
27,1,ingenieria,femenino,17228,3
28,5,diseño,femenino,13499,5
19,1,derecho,masculino,17027,2
26,3,sistemas,femenino,17188,1
24,1,ingenieria,masculino,17185,5
23,5,diseño,femenino,11476,4
25,4,sistemas,masculino,11664,1
20,6,medicina,femenino,12772,3
28,5,medicina,masculino,17197,3
30,2,derecho,femenino,16485,5
29,5,ingenieria,masculino,178311,4
23,1,derecho,femenino,178322,5
28,1,derecho,femenino,12770,4
18,6,arquitectura,femenino,11664,1
19,6,sistemas,masculino,12362,1
28,4,diseño,femenino,12388,3
26,3,arquitectura,femenino,14466,5
19,6,medicina,femenino,17015,4
20,3,derecho,masculino,13162,5
26,4,sistemas,femenino,13675,4
27,2,administracion,femenino,16273,5
20,1,diseño,masculino,178363,4
27,5,arquitectura,masculino,12714,5
28,2,medicina,masculino,13499,1
24,2,medicina,femenino,17108,5
20,3,administracion,masculino,11993,5
27,5,sistemas,masculino,178338,5
19,6,derecho,masculino,14065,2
25,5,sistemas,femenino,16985,5
24,4,sistemas,masculino,11417,4
22,1,arquitectura,masculino,12071,4
25,6,medicina,masculino,11339,3
26,1,ingenieria,masculino,13936,3
21,2,ingenieria,femenino,11991,4
24,1,administracion,femenino,15409,4
18,4,diseño,femenino,178364,5
30,2,administracion,masculino,13194,5
22,5,diseño,femenino,17189,1
21,5,arquitectura,femenino,12724,5
19,3,administracion,masculino,12820,3
28,3,arquitectura,masculino,13328,3
22,6,diseño,masculino,17167,3
22,2,administracion,masculino,11023,2
21,5,ingenieria,masculino,14157,5
25,5,medicina,femenino,14538,5
23,5,arquitectura,masculino,16031,1
24,3,administracion,femenino,12093,3
30,6,arquitectura,femenino,17241,5
24,1,sistemas,femenino,17222,5
27,2,arquitectura,femenino,17828,3
23,6,derecho,femenino,11021,3
26,1,administracion,masculino,11991,5
23,2,administracion,femenino,11410,1
30,5,administracion,femenino,11007,1
21,1,derecho,femenino,12890,4
25,1,diseño,femenino,11324,5
26,2,diseño,femenino,178311,3
27,3,derecho,femenino,17248,3
21,3,sistemas,masculino,17267,5
28,4,diseño,masculino,17167,5
28,1,diseño,masculino,12162,5
21,2,ingenieria,femenino,17015,4
21,3,ingenieria,femenino,17135,1
18,2,diseño,femenino,178343,4
30,5,sistemas,femenino,11387,5
18,4,diseño,femenino,17212,5
29,6,medicina,masculino,13539,4
22,5,derecho,femenino,15178,3
30,6,derecho,femenino,12756,2
30,2,derecho,femenino,16196,5
28,5,sistemas,femenino,17206,4
30,5,derecho,femenino,17254,4
20,3,arquitectura,femenino,11993,4
24,4,sistemas,masculino,15997,1
19,5,administracion,masculino,13196,4
20,2,derecho,femenino,12196,3
23,2,arquitectura,femenino,11989,4
30,3,derecho,femenino,16041,5
24,3,derecho,masculino,11060,5
23,2,sistemas,masculino,17209,5
24,2,diseño,masculino,12055,5
26,3,sistemas,masculino,14978,3
18,6,derecho,masculino,178371,1
21,1,derecho,femenino,14456,1
20,6,arquitectura,masculino,12714,3
18,6,administracion,femenino,12772,5
18,6,ingenieria,masculino,11989,5
22,1,administracion,masculino,12107,3
22,6,administracion,femenino,12776,4
24,1,diseño,femenino,178338,5
20,5,arquitectura,masculino,17193,4
24,2,arquitectura,masculino,13328,3
27,2,arquitectura,masculino,16041,2
23,1,diseño,masculino,16990,4
25,4,arquitectura,femenino,11009,5
26,4,medicina,femenino,13202,4
22,6,arquitectura,femenino,13837,4
26,6,sistemas,femenino,13128,5
24,2,arquitectura,femenino,15178,5
21,3,diseño,femenino,178358,4
30,2,medicina,femenino,12452,4
28,4,arquitectura,femenino,11959,3
28,1,diseño,masculino,12786,2
27,4,medicina,femenino,12770,1
30,1,diseño,femenino,11242,4
30,3,ingenieria,masculino,17211,2
21,1,sistemas,femenino,14888,4
19,2,sistemas,masculino,12446,5
22,2,derecho,femenino,178310,3
28,6,sistemas,masculino,17248,5
26,6,medicina,masculino,12442,5
25,4,derecho,femenino,11602,4
24,6,arquitectura,masculino,11662,1
21,5,ingenieria,femenino,17122,5
22,4,ingenieria,femenino,12704,1
20,3,sistemas,masculino,11963,4
25,3,arquitectura,masculino,17192,5
27,1,ingenieria,masculino,13847,4
21,6,diseño,masculino,17204,3
30,1,diseño,femenino,16041,3
30,3,diseño,masculino,11202,3
23,1,medicina,masculino,12091,1
25,4,diseño,masculino,12162,4
23,4,diseño,femenino,13861,4
27,3,diseño,femenino,12856,4
23,4,medicina,femenino,14065,4
20,1,ingenieria,masculino,13020,5
23,4,derecho,masculino,11239,4
20,2,derecho,femenino,13192,5
22,3,administracion,masculino,11558,5
21,6,arquitectura,femenino,13535,3
19,6,arquitectura,femenino,11662,4
24,6,derecho,masculino,11991,5
30,5,sistemas,masculino,11558,4
28,5,derecho,masculino,178371,5
29,1,administracion,femenino,13222,4
20,4,derecho,femenino,12772,3
20,2,arquitectura,masculino,13200,5
21,1,derecho,masculino,178357,4
19,5,administracion,masculino,12786,4
27,5,arquitectura,masculino,12728,5
26,2,diseño,masculino,12188,5
28,1,diseño,femenino,178352,2
28,3,sistemas,masculino,17044,1
24,4,ingenieria,femenino,15933,5
24,4,sistemas,femenino,178315,4
19,6,sistemas,femenino,178316,3
26,5,ingenieria,masculino,17200,4
22,2,diseño,femenino,12770,3
19,4,arquitectura,femenino,12856,5
28,5,administracion,masculino,12674,4
18,3,administracion,femenino,11462,4
26,3,sistemas,femenino,11991,4
23,2,medicina,femenino,17195,4
25,6,arquitectura,masculino,11476,1
30,5,derecho,femenino,17202,5
18,6,arquitectura,femenino,17120,4
30,6,administracion,femenino,12402,1
21,4,diseño,masculino,11408,4
30,1,derecho,masculino,14446,2
19,3,sistemas,femenino,12057,4
28,3,administracion,masculino,12774,5
22,6,ingenieria,femenino,17254,4
27,1,ingenieria,masculino,13395,5
21,4,medicina,masculino,13196,1
30,1,sistemas,masculino,13162,5
29,3,medicina,masculino,12758,5
30,5,medicina,masculino,17217,1
18,3,diseño,femenino,11415,3
25,3,arquitectura,masculino,16951,5
30,6,derecho,femenino,12698,2
22,4,sistemas,femenino,12127,5
19,3,administracion,femenino,17828,1
30,1,administracion,masculino,17141,2
28,5,derecho,masculino,17200,5
22,5,medicina,femenino,16196,5
19,2,ingenieria,masculino,16262,4
28,1,medicina,femenino,12706,4
30,1,diseño,femenino,11462,1
28,6,administracion,femenino,15825,5
25,5,ingenieria,masculino,14586,5
30,2,sistemas,femenino,14466,4
23,3,ingenieria,masculino,17180,5
24,5,medicina,masculino,17141,5
29,2,administracion,masculino,14157,3
18,2,arquitectura,femenino,12706,3
29,3,sistemas,femenino,15086,2
21,2,medicina,femenino,17181,3
29,5,sistemas,femenino,11419,5
24,2,arquitectura,masculino,11224,4
24,3,administracion,masculino,178346,2
29,2,diseño,masculino,12910,1
21,5,derecho,masculino,11007,3
22,5,diseño,masculino,14378,4
24,1,arquitectura,femenino,17825,5
18,1,arquitectura,femenino,15106,3
30,3,arquitectura,femenino,17840,4
25,6,medicina,masculino,13192,2
30,6,administracion,masculino,13971,1
20,6,ingenieria,femenino,16963,5
25,5,derecho,masculino,17189,4
28,2,diseño,masculino,178347,2
25,1,ingenieria,femenino,16196,4
20,4,administracion,femenino,12800,3
21,4,diseño,masculino,13837,4
27,2,diseño,masculino,12442,4
26,3,administracion,masculino,15511,1
30,3,ingenieria,femenino,17228,3
19,1,medicina,femenino,15761,1
19,1,ingenieria,masculino,11006,5
26,4,diseño,masculino,15813,2
28,6,derecho,femenino,17266,3
27,5,diseño,femenino,17182,2
30,3,derecho,masculino,14602,3
29,1,derecho,masculino,12696,5
28,2,ingenieria,femenino,11959,5
24,3,derecho,femenino,12726,3
23,6,diseño,femenino,12736,4
21,2,ingenieria,femenino,15178,5
25,5,arquitectura,masculino,13020,5
27,5,diseño,femenino,11844,1
25,6,administracion,femenino,15182,4
19,6,administracion,femenino,13202,2
29,4,sistemas,femenino,17212,4
24,3,derecho,femenino,11423,5
27,5,derecho,masculino,178354,3
26,3,diseño,femenino,17198,4
19,5,sistemas,masculino,11009,3
30,6,sistemas,femenino,13377,1
23,3,derecho,masculino,15006,4
30,4,medicina,masculino,14602,5
21,1,medicina,femenino,17135,4
25,5,derecho,femenino,178338,1
18,1,diseño,femenino,11798,5
30,1,arquitectura,masculino,17108,1
22,2,diseño,masculino,12702,2
24,4,administracion,masculino,16995,5
28,5,administracion,masculino,15743,5
23,4,arquitectura,femenino,16250,4
30,1,medicina,masculino,16967,1
18,6,diseño,masculino,12450,3
20,5,ingenieria,masculino,13535,5
28,4,medicina,femenino,16485,4
26,2,derecho,masculino,13535,3
28,2,sistemas,masculino,16031,4
28,3,derecho,masculino,17830,5
22,3,medicina,masculino,12916,3
21,1,sistemas,femenino,12097,3
30,2,ingenieria,masculino,11422,5
27,6,ingenieria,femenino,12560,4
27,3,administracion,femenino,12856,3
23,6,sistemas,femenino,11003,5
29,2,medicina,masculino,13058,3
22,2,ingenieria,masculino,17201,2
19,1,medicina,femenino,11961,5
29,5,medicina,femenino,15691,4
26,4,medicina,femenino,15691,5
19,4,administracion,masculino,178365,2
27,2,arquitectura,femenino,14181,5
22,4,diseño,femenino,11202,2
26,4,diseño,femenino,178327,5
29,6,administracion,femenino,12800,4
23,3,derecho,masculino,17027,3
29,1,administracion,femenino,11000,4
24,6,sistemas,femenino,12071,3
18,1,derecho,femenino,178309,3
29,5,ingenieria,femenino,13847,3
28,1,arquitectura,femenino,12308,5
25,6,diseño,femenino,13847,3
18,4,derecho,masculino,178341,1
25,1,medicina,masculino,14209,3
21,4,ingenieria,femenino,13162,5
22,4,medicina,femenino,17205,3
22,2,sistemas,masculino,12736,4
21,5,administracion,femenino,15266,5
30,6,sistemas,femenino,11324,2
26,3,arquitectura,femenino,15026,5
21,3,medicina,masculino,11666,2
21,3,ingenieria,femenino,12370,4
20,3,administracion,femenino,15082,5
29,3,ingenieria,femenino,17249,4
24,6,administracion,masculino,13377,4
26,5,ingenieria,masculino,17211,5
21,2,diseño,femenino,12674,4
23,3,diseño,masculino,13190,3
27,1,medicina,femenino,11006,2
18,4,diseño,masculino,15328,4
22,4,arquitectura,masculino,178344,4
24,6,diseño,masculino,11472,5
22,4,administracion,femenino,12688,3
23,1,sistemas,masculino,11007,1
21,1,administracion,femenino,11060,3
23,4,administracion,femenino,12528,5
22,1,ingenieria,femenino,14688,4
22,3,administracion,femenino,11938,4
23,1,derecho,masculino,178338,1
27,3,sistemas,masculino,12776,4
21,1,ingenieria,masculino,16250,3
19,6,ingenieria,masculino,11415,1
21,4,sistemas,masculino,178343,1
25,1,ingenieria,femenino,17211,4
21,2,ingenieria,femenino,13499,4
30,3,diseño,femenino,178315,5
23,1,diseño,masculino,16196,3
29,6,arquitectura,masculino,14378,4
20,2,arquitectura,femenino,178311,5
23,1,administracion,masculino,17835,3
29,1,diseño,masculino,17192,5
29,2,ingenieria,femenino,11387,5
22,3,derecho,femenino,17239,3
25,5,ingenieria,femenino,13936,4
19,2,sistemas,masculino,16158,1
19,5,arquitectura,masculino,12420,5
20,5,administracion,masculino,13395,4
27,5,derecho,masculino,11339,5
29,2,medicina,femenino,13847,2
27,3,administracion,femenino,17241,5
18,4,medicina,masculino,12308,5
21,3,sistemas,masculino,14095,5
28,3,administracion,masculino,12188,2
24,5,arquitectura,masculino,12718,5
30,3,sistemas,femenino,12696,5
21,3,derecho,masculino,16990,3
18,5,derecho,masculino,11462,3
30,4,ingenieria,femenino,17826,5
24,3,administracion,masculino,12820,4
30,2,derecho,femenino,13202,4
30,3,derecho,femenino,178348,2
24,1,arquitectura,femenino,16985,4
29,2,diseño,masculino,12190,4
29,3,derecho,femenino,17200,4
22,5,derecho,femenino,17839,3
27,4,sistemas,masculino,14730,4
27,1,arquitectura,femenino,14860,5
20,2,administracion,femenino,14602,3
26,5,arquitectura,masculino,17222,4
27,6,administracion,masculino,178310,4
19,2,arquitectura,femenino,14602,3
30,6,ingenieria,femenino,16047,4
26,2,arquitectura,femenino,17122,4
29,4,derecho,femenino,11938,3
21,6,derecho,femenino,12518,2
21,3,ingenieria,femenino,11239,4
24,2,arquitectura,masculino,11666,4
28,6,administracion,masculino,11007,4
22,4,ingenieria,femenino,12772,1
19,5,diseño,femenino,12089,5
28,6,ingenieria,masculino,12130,5
28,6,ingenieria,masculino,15853,5
19,1,sistemas,masculino,15254,5
18,3,derecho,masculino,178360,5
26,6,sistemas,masculino,12910,5
21,3,arquitectura,masculino,178316,4
27,1,sistemas,femenino,178311,5
22,2,arquitectura,masculino,12446,4
25,2,ingenieria,femenino,17824,4
27,6,administracion,masculino,17255,5
29,4,medicina,masculino,15743,3
23,6,derecho,femenino,178309,3
24,6,ingenieria,masculino,14642,3
26,4,derecho,masculino,13222,3
26,5,arquitectura,masculino,11009,4
30,6,administracion,masculino,178345,3
30,1,arquitectura,femenino,16041,4
21,3,derecho,masculino,12988,3
21,6,sistemas,masculino,13328,4
28,1,sistemas,masculino,11060,4
30,5,administracion,masculino,17215,4
18,5,arquitectura,femenino,16990,5
27,3,sistemas,femenino,12916,4
27,5,derecho,femenino,12452,3
22,4,ingenieria,femenino,14466,5
19,6,derecho,masculino,11242,1
28,5,diseño,masculino,11003,4
28,6,administracion,masculino,15106,3
20,3,diseño,masculino,12704,3
26,6,derecho,masculino,14095,1
23,4,medicina,masculino,13192,5
19,5,administracion,femenino,16984,4
30,3,administracion,masculino,12518,5
29,2,medicina,masculino,178322,4
30,6,administracion,femenino,178343,3
29,6,derecho,femenino,178354,5
23,4,arquitectura,masculino,13056,5
23,6,arquitectura,femenino,14688,4
19,6,arquitectura,masculino,11326,4
28,6,medicina,femenino,11369,3
30,5,medicina,femenino,17218,5
29,5,diseño,femenino,178330,4
30,5,derecho,femenino,15997,5
27,3,arquitectura,masculino,17208,3
19,5,arquitectura,femenino,14482,4
28,3,arquitectura,femenino,16985,4
23,2,sistemas,masculino,15825,1
29,3,derecho,femenino,178359,4
21,1,derecho,femenino,16158,1
22,4,diseño,femenino,11375,5
28,2,sistemas,masculino,17182,3
20,5,derecho,femenino,11129,3
22,4,medicina,masculino,14181,4
26,1,administracion,femenino,11528,5
19,3,derecho,masculino,12362,2
23,6,medicina,masculino,13675,4
20,1,sistemas,masculino,14752,3
18,2,administracion,masculino,14594,3
24,6,arquitectura,masculino,11987,1
25,2,arquitectura,femenino,178348,4
27,4,sistemas,femenino,15182,3
18,6,medicina,femenino,11251,4
30,6,medicina,masculino,15515,4
27,1,medicina,femenino,11375,3
29,3,administracion,masculino,12420,3
20,6,derecho,masculino,13072,3
23,1,medicina,femenino,13535,4
26,5,administracion,masculino,17108,4
28,2,arquitectura,masculino,11387,3
18,2,derecho,femenino,13499,5
18,3,diseño,masculino,17201,5
22,6,medicina,femenino,12696,5
24,5,sistemas,masculino,12196,3
27,6,ingenieria,masculino,17108,5
19,6,diseño,masculino,17824,2
29,4,diseño,masculino,17189,5
25,3,sistemas,masculino,15941,2
30,6,administracion,femenino,11634,3
24,5,arquitectura,femenino,15691,3
21,4,sistemas,masculino,11324,2
19,3,arquitectura,femenino,12091,3
23,2,arquitectura,femenino,13056,5
29,6,sistemas,femenino,15184,3
29,3,ingenieria,femenino,17836,3
27,3,medicina,masculino,11224,5
21,2,ingenieria,femenino,178310,5
21,2,derecho,femenino,14642,3
22,1,sistemas,masculino,178354,5
30,1,diseño,femenino,178342,4
24,6,derecho,femenino,17825,5
23,1,sistemas,masculino,17211,5
28,6,sistemas,femenino,178333,5
28,3,arquitectura,femenino,16991,5
19,4,ingenieria,femenino,17135,2
24,1,administracion,femenino,14610,5
24,6,medicina,masculino,11470,4
29,5,administracion,masculino,13847,4
21,2,diseño,femenino,17209,4
29,1,derecho,femenino,17222,4
21,6,ingenieria,masculino,13214,4
30,5,arquitectura,femenino,15026,1
29,2,ingenieria,masculino,14195,5
22,3,administracion,femenino,11407,3
24,4,sistemas,femenino,17201,5
26,3,medicina,femenino,17135,3
21,4,administracion,masculino,12460,1
26,1,ingenieria,masculino,12702,4
19,5,diseño,masculino,17207,4
26,2,sistemas,masculino,11938,4
24,1,sistemas,masculino,11008,1
29,5,medicina,masculino,12720,5
21,6,administracion,masculino,17210,5
24,1,administracion,masculino,13775,5
18,4,diseño,femenino,15328,1
23,3,ingenieria,femenino,12089,1
21,4,sistemas,masculino,11470,2
18,6,arquitectura,femenino,12091,5
23,5,diseño,masculino,12528,4
18,3,diseño,femenino,17836,5
20,3,arquitectura,femenino,11410,5
25,3,medicina,femenino,12916,4
23,3,arquitectura,masculino,17196,4
28,4,diseño,masculino,11728,3
19,3,sistemas,masculino,178342,5
30,5,administracion,femenino,17254,2
29,5,medicina,femenino,12420,4
27,6,medicina,masculino,11416,5
21,6,sistemas,masculino,16942,5
29,5,administracion,masculino,178328,4
21,4,ingenieria,masculino,14065,5
19,2,ingenieria,masculino,14608,4
26,1,ingenieria,femenino,11844,5
26,6,sistemas,femenino,11407,4
21,3,medicina,masculino,11423,5
25,3,arquitectura,masculino,178357,5
25,5,administracion,masculino,15997,3
19,6,arquitectura,masculino,13539,4
30,6,sistemas,masculino,11202,1
21,3,diseño,femenino,11666,3
28,4,administracion,masculino,13072,5
27,5,medicina,femenino,12158,5
23,2,administracion,masculino,12774,5
23,4,administracion,masculino,13938,5
29,1,sistemas,masculino,12446,4
29,3,ingenieria,masculino,14608,2
19,6,diseño,femenino,16041,1
22,2,arquitectura,masculino,17266,3
30,6,derecho,masculino,178358,3
18,6,derecho,femenino,178350,3
20,1,medicina,masculino,16951,4
27,3,administracion,masculino,11476,1
29,1,arquitectura,masculino,12758,4
21,2,diseño,masculino,178368,5
28,2,arquitectura,masculino,17247,2
27,5,ingenieria,masculino,11462,5
26,6,medicina,masculino,13332,5
18,4,medicina,femenino,14446,5
26,2,derecho,femenino,15743,4
21,6,diseño,femenino,12734,4
30,6,medicina,femenino,17114,5
22,4,ingenieria,masculino,11369,5
24,3,diseño,femenino,12402,1
27,3,diseño,femenino,16992,1
22,6,administracion,femenino,17839,2
22,2,derecho,masculino,15266,2
22,5,diseño,masculino,14195,3
26,5,ingenieria,masculino,17188,5
29,5,derecho,femenino,16485,5
23,6,ingenieria,femenino,11566,4
19,3,administracion,femenino,11023,5
21,2,sistemas,femenino,16262,4
23,3,derecho,femenino,14782,1
22,6,derecho,femenino,178365,4
22,4,derecho,masculino,17192,2
26,1,arquitectura,masculino,12696,4
26,2,diseño,masculino,178310,5
22,5,administracion,masculino,17837,4
19,3,diseño,masculino,12756,4
26,6,medicina,femenino,16986,5
25,4,medicina,femenino,16262,5
18,3,arquitectura,masculino,11938,4
27,1,medicina,masculino,11580,3
18,3,administracion,femenino,17266,3
20,5,medicina,masculino,11338,4
24,6,derecho,masculino,12162,5
26,2,arquitectura,masculino,12097,4
23,1,derecho,masculino,13501,5
26,6,ingenieria,masculino,17241,5
19,6,derecho,masculino,14446,5
30,2,medicina,masculino,12560,5
19,3,administracion,femenino,11690,3
24,6,sistemas,masculino,16041,3
30,3,administracion,masculino,15761,1
23,6,sistemas,femenino,12698,4
22,2,sistemas,masculino,12089,3
21,5,medicina,masculino,13206,4
22,1,medicina,masculino,13072,5
23,2,sistemas,masculino,15226,5
25,2,medicina,femenino,12190,2
22,3,derecho,masculino,17015,2
21,2,derecho,masculino,12388,3
26,3,sistemas,masculino,11558,5
27,5,ingenieria,femenino,12256,4
25,6,medicina,masculino,14730,5
22,4,medicina,masculino,12057,4
30,2,diseño,masculino,16273,5
22,6,administracion,femenino,16967,2
18,4,administracion,femenino,12774,5
